_
Alabama St,Alabama A&M
Alcorn St,MS Valley St
New Mexico St,Grand Canyon
Hampton,Norfolk St
Seattle,Chicago St
Florida A&M,NC Central
Grambling,Prairie View
Southern Univ,Ark Pine Bluff
Missouri KC,Utah Valley
TX Southern,Jackson St
Bethune-Cookman,MD E Shore
Savannah St,Morgan St
S Carolina St,NC A&T
UTRGV,CS Bakersfield
F Dickinson,Wagner
Duke,Georgia Tech
Albany NY,Hartford
Lafayette,Loyola MD
Stony Brook,Maine
UMBC,New Hampshire
Louisville,Pittsburgh
Syracuse,Wake Forest
Vermont,MA Lowell
Houston,Tulane
Penn St,Illinois
UCF,Memphis
Cincinnati,SMU
S Illinois,Bradley
Valparaiso,Illinois St
Michigan,Wisconsin
South Dakota,Peru St
Colorado,Stanford
Oregon,Washington St
Bucknell,Colgate
Canisius,Fairfield
UNC Greensboro,ETSU
North Carolina,Notre Dame
Siena,Iona
West Virginia,TCU
Mercer,Samford
Baylor,Texas
Bethune-Cookman,NC Central
Grambling,TX Southern
Hampton,Coppin St
Alcorn St,Ark Pine Bluff
Norfolk St,Delaware St
Morgan St,Florida A&M
Howard,MD E Shore
Prairie View,Jackson St
Southern Univ,MS Valley St
Savannah St,NC A&T
Ball St,Akron
Bowling Green,W Michigan
Georgetown,Butler
Buffalo,Kent
E Michigan,Miami OH
St Bonaventure,La Salle
Virginia,Miami FL
Monmouth NJ,St Peter's
Boston College,Pittsburgh
Rutgers,Northwestern
Tennessee,South Carolina
Toledo,Ohio
Alabama,LSU
Creighton,Bemidji St
Kansas,Iowa St
Michigan St,Minnesota
Arkansas,Mississippi
Missouri,Texas A&M
Nebraska,Maryland
C Michigan,N Illinois
Northern Iowa,Evansville
Texas Tech,Oklahoma
N Dakota St,Mayville St
Rhode Island,Richmond
James Madison,UNC Wilmington
American Univ,Boston Univ
Holy Cross,Army
Bucknell,Loyola MD
UCF,South Florida
Cleveland St,Detroit
Lehigh,Colgate
Duke,Virginia Tech
Georgia,Florida
Florida St,Clemson
St Joseph's PA,Fordham
George Mason,Dayton
Indiana,Illinois
G Washington,Massachusetts
Michigan,Iowa
Navy,Lafayette
Providence,Villanova
NC State,Syracuse
Davidson,VA Commonwealth
Wake Forest,Georgia Tech
Xavier,Seton Hall
Youngstown St,Oakland
IPFW,W Illinois
Auburn,Kentucky
St John's,DePaul
Drake,Indiana St
Bradley,Illinois St
Lamar,Incarnate Word
Loyola-Chicago,Valparaiso
Nicholls St,Sam Houston St
Houston Bap,Northwestern LA
Kansas St,Oklahoma St
South Dakota,Oral Roberts
SE Louisiana,New Orleans
Memphis,SMU
S Illinois,Missouri St
East Carolina,Tulane
Vanderbilt,Mississippi St
SF Austin,TAM C. Christi
McNeese St,Cent Arkansas
Nevada,Boise St
Denver,NE Omaha
New Mexico,Utah St
UNLV,Air Force
UC Riverside,CS Northridge
San Diego St,Wyoming
Fresno St,San Jose St
South Alabama,Appalachian St
Troy,Coastal Car
Tulsa,Connecticut
UNC Greensboro,Citadel
Fairfield,Marist
Furman,Chattanooga
Hartford,Maine
Hofstra,William & Mary
NJIT,Jacksonville
Col Charleston,James Madison
Mercer,VMI
F Dickinson,Mt St Mary's
Liberty,UNC Asheville
UTEP,Charlotte
UNC Wilmington,Elon
Northeastern,Drexel
North Florida,SC Upstate
Old Dominion,UT San Antonio
Penn St,Ohio St
Presbyterian,High Point
Radford,Campbell
Rider,Siena
Robert Morris,Bryant
St Francis NY,Long Island
St Francis PA,Central Conn
Lipscomb,Stetson
Towson,Delaware
Vermont,New Hampshire
Wofford,W Carolina
Winthrop,Gardner Webb
Quinnipiac,Manhattan
Wagner,Sacred Heart
Charleston So,Longwood
Binghamton,Stony Brook
Kennesaw,FL Gulf Coast
Albany NY,MA Lowell
Tennessee Tech,Austin Peay
Belmont,E Kentucky
Houston,Cincinnati
Louisiana Tech,UAB
Murray St,Jacksonville St
ULM,UT Arlington
WKU,North Texas
Marshall,Rice
SE Missouri St,E Illinois
MTSU,Southern Miss
ULL,Texas St
SIUE,TN Martin
Tennessee St,Morehead St
Wichita St,Temple
Wisconsin,Purdue
North Dakota,Southern Utah
Arizona,Arizona St
N Colorado,Northern Arizona
Hawaii,UC Irvine
UC Davis,Cal Poly
E Washington,Montana
Gonzaga,Loy Marymount
Idaho,Montana St
UC Santa Barbara,Long Beach St
BYU,Pepperdine
Santa Clara,Portland
Idaho St,CS Sacramento
Pacific,San Diego
San Francisco,St Mary's CA
UCLA,Oregon St
USC,Oregon
Utah,Washington
Washington St,Colorado
Weber St,Portland St
Utah Valley,New Mexico St
Seattle,UTRGV
Missouri KC,Chicago St
Oakland,Cleveland St
Penn,Columbia
Cornell,Princeton
Yale,Dartmouth
Harvard,Brown
Niagara,Iona
Canisius,Monmouth NJ
St Bonaventure,Rhode Island
Wright St,N Kentucky
Detroit,Youngstown St
IL Chicago,WI Green Bay
IUPUI,WI Milwaukee
Ga Southern,Georgia St
Buffalo,Bowling Green
Appalachian St,Troy
Ball St,Toledo
Notre Dame,Boston College
Navy,Boston Univ
Butler,Providence
UCF,SMU
E Michigan,C Michigan
Coastal Car,South Alabama
Columbia,Princeton
Penn,Cornell
VMI,Citadel
Dartmouth,Brown
Davidson,Massachusetts
Dayton,Fordham
Delaware,Elon
Fairfield,Quinnipiac
FL Atlantic,Florida Intl
G Washington,VA Commonwealth
Georgia,Tennessee
Harvard,Yale
Hofstra,Drexel
Bucknell,Holy Cross
S Illinois,Indiana St
Jacksonville,SC Upstate
Kent,Akron
Kentucky,Alabama
Lafayette,American Univ
La Salle,George Mason
Lehigh,Army
North Carolina,Louisville
Marist,St Peter's
Maryland,Rutgers
Mercer,UNC Greensboro
Syracuse,Miami FL
UT San Antonio,Charlotte
Col Charleston,UNC Wilmington
Northeastern,William & Mary
North Florida,NJIT
Ohio,Miami OH
Old Dominion,UTEP
St Louis,Richmond
Central Conn,Robert Morris
South Carolina,Auburn
St Francis NY,F Dickinson
St Francis PA,Bryant
St Joseph's PA,Duquesne
Stetson,Kennesaw
Wofford,Chattanooga
James Madison,Towson
Virginia Tech,Georgia Tech
Wagner,Long Island
NC State,Wake Forest
ETSU,W Carolina
Villanova,Xavier
Mt St Mary's,Sacred Heart
Lipscomb,FL Gulf Coast
Arkansas,Texas A&M
Ark Little Rock,Arkansas St
Austin Peay,Jacksonville St
Belmont,Morehead St
Baylor,Texas Tech
Marquette,Creighton
Sam Houston St,Houston Bap
Illinois St,Northern Iowa
Indiana,Iowa
Kansas,West Virginia
Kansas St,Iowa St
Lamar,TAM C. Christi
MTSU,Louisiana Tech
LSU,Missouri
Mississippi St,Mississippi
Murray St,Tennessee Tech
ULM,Texas St
New Orleans,McNeese St
Marshall,North Texas
N Illinois,W Michigan
Michigan St,Northwestern
Texas,Oklahoma
WKU,Rice
Furman,Samford
SE Louisiana,Abilene Chr
SE Missouri St,SIUE
UAB,Southern Miss
ULL,UT Arlington
TCU,Oklahoma St
E Illinois,TN Martin
E Kentucky,Tennessee St
Memphis,Tulane
Valparaiso,Bradley
Vanderbilt,Florida
Nicholls St,Cent Arkansas
North Dakota,Northern Arizona
IPFW,N Dakota St
South Dakota,NE Omaha
S Dakota St,W Illinois
SF Austin,Incarnate Word
Boise St,Air Force
N Colorado,Southern Utah
Nevada,Utah St
Wyoming,San Jose St
UC Irvine,Cal Poly
E Washington,Montana St
Fresno St,Colorado St
CS Fullerton,CS Northridge
Gonzaga,Pepperdine
Idaho,Montana
Santa Clara,Pacific
St Mary's CA,Portland
San Diego,BYU
San Diego St,UNLV
San Francisco,Loy Marymount
UC Davis,UC Santa Barbara
UCLA,Oregon
USC,Oregon St
Washington,Colorado
Utah,Washington St
Portland St,Idaho St
Hawaii,UC Riverside
Alcorn St,Alabama A&M
Weber St,CS Sacramento
Hampton,S Carolina St
TX Southern,MS Valley St
Norfolk St,Savannah St
Utah Valley,UTRGV
CS Bakersfield,Grand Canyon
Seattle,New Mexico St
Bethune-Cookman,Coppin St
Florida A&M,Delaware St
Grambling,Jackson St
Prairie View,Ark Pine Bluff
NC A&T,Howard
NC Central,MD E Shore
Southern Univ,Alabama St
Colgate,Loyola MD
Illinois,Nebraska
Campbell,Liberty
UNC Asheville,Charleston So
Wichita St,Cincinnati
Duke,Clemson
Connecticut,East Carolina
Florida St,Pittsburgh
Manhattan,Niagara
UMBC,Albany NY
Michigan,Ohio St
Purdue,Penn St
Radford,Presbyterian
Rider,Canisius
Seton Hall,DePaul
Monmouth NJ,Siena
Stony Brook,New Hampshire
Houston,Temple
Hartford,Vermont
Winthrop,Longwood
High Point,Gardner Webb
MA Lowell,Binghamton
Loyola-Chicago,Evansville
Drake,Missouri St
Tulsa,South Florida
Denver,Oral Roberts
Stanford,California
Miami FL,Notre Dame
Wright St,Cleveland St
IUPUI,Oakland
N Kentucky,Youngstown St
IL Chicago,Detroit
Kansas,Oklahoma
Maryland,Northwestern
Wisconsin,Minnesota
Alabama St,Alcorn St
Hampton,Savannah St
NC Central,Howard
Norfolk St,S Carolina St
Delaware St,Coppin St
Ark Pine Bluff,TX Southern
NC A&T,MD E Shore
MS Valley St,Prairie View
Bethune-Cookman,Morgan St
Southern Univ,Alabama A&M
Ball St,N Illinois
Akron,Bowling Green
Butler,Creighton
Dayton,St Louis
Citadel,ETSU
E Michigan,Toledo
Furman,VMI
Rhode Island,La Salle
Mercer,W Carolina
Miami OH,Buffalo
Michigan St,Illinois
NC State,Boston College
Ohio,Kent
Ohio St,Rutgers
W Michigan,C Michigan
UNC Greensboro,Wofford
Kentucky,Arkansas
West Virginia,Baylor
LSU,Vanderbilt
Mississippi,Missouri
Nebraska,Indiana
Mississippi St,Texas A&M
Northern Iowa,Valparaiso
New Mexico,Wyoming
Boston Univ,Lafayette
Bucknell,Navy
Colgate,Army
Davidson,Fordham
Duke,Louisville
SMU,East Carolina
Xavier,Georgetown
Hartford,New Hampshire
Holy Cross,American Univ
Indiana St,Evansville
Lehigh,Loyola MD
VA Commonwealth,Massachusetts
Stony Brook,UMBC
Canisius,Niagara
Michigan,Penn St
Wake Forest,Pittsburgh
Seton Hall,Providence
Fairfield,Siena
South Carolina,Georgia
St Bonaventure,Duquesne
North Carolina,Syracuse
Tennessee,Florida
Vermont,Binghamton
Villanova,DePaul
Virginia,Georgia Tech
Virginia Tech,Clemson
MA Lowell,Maine
Auburn,Alabama
TAM C. Christi,Abilene Chr
Lamar,Houston Bap
Illinois St,Drake
TCU,Iowa St
Kansas St,Texas
Marquette,St John's
Nicholls St,McNeese St
Minnesota,Iowa
Oklahoma St,Texas Tech
Sam Houston St,New Orleans
Loyola-Chicago,S Illinois
SF Austin,Cent Arkansas
Bradley,Missouri St
Tulsa,UCF
Wichita St,Tulane
Northwestern LA,Incarnate Word
San Diego St,Air Force
USC,Colorado
Boise St,Colorado St
Fresno St,UNLV
Nevada,San Jose St
UC Riverside,CS Fullerton
George Mason,St Joseph's PA
G Washington,Richmond
Wagner,Central Conn
Col Charleston,Elon
Charleston So,Campbell
Cincinnati,Connecticut
WI Milwaukee,Detroit
Drexel,Delaware
E Kentucky,SE Missouri St
St Francis PA,F Dickinson
Florida Intl,North Texas
Rice,FL Atlantic
Jacksonville,North Florida
Hofstra,James Madison
Radford,Liberty
Long Island,St Francis NY
Old Dominion,Marshall
Monmouth NJ,Rider
Morehead St,TN Martin
Mt St Mary's,Robert Morris
UNC Asheville,Winthrop
Northeastern,Towson
WI Green Bay,Oakland
Gardner Webb,Presbyterian
FL Gulf Coast,Stetson
William & Mary,UNC Wilmington
NJIT,SC Upstate
Sacred Heart,Bryant
Coastal Car,Ark Little Rock
Arkansas St,Appalachian St
Murray St,E Illinois
Purdue,Illinois
Jacksonville St,Belmont
Memphis,Houston
Wisconsin,Northwestern
ULM,South Alabama
Georgia St,Texas St
Tennessee Tech,Tennessee St
UT San Antonio,Southern Miss
UT Arlington,Ga Southern
ULL,Troy
W Illinois,N Dakota St
WKU,Charlotte
Austin Peay,SIUE
Lipscomb,Kennesaw
Oral Roberts,NE Omaha
S Dakota St,South Dakota
Oregon,Arizona St
Idaho St,Idaho
Northern Arizona,CS Sacramento
Portland St,Southern Utah
UTEP,Louisiana Tech
Utah,UCLA
E Washington,Weber St
UC Irvine,UC Santa Barbara
Cal Poly,CS Northridge
Washington St,California
Arizona,Oregon St
San Francisco,Pacific
BYU,Portland
Gonzaga,San Diego
Loy Marymount,Santa Clara
St Mary's CA,Pepperdine
Stanford,Washington
Hawaii,Long Beach St
New Mexico St,Chicago St
Grand Canyon,Seattle
Missouri KC,UTRGV
Utah Valley,CS Bakersfield
High Point,Longwood
W Michigan,Ball St
Columbia,Brown
Yale,Cornell
Mercer,Citadel
Wofford,ETSU
Ohio St,Indiana
Iona,Manhattan
UNC Greensboro,Chattanooga
Niagara,Marist
Penn,Dartmouth
Harvard,Princeton
Rhode Island,Dayton
Samford,VMI
Furman,W Carolina
IUPUI,Wright St
St Peter's,Quinnipiac
N Kentucky,IL Chicago
Toledo,C Michigan
Miami OH,Akron
Bucknell,American Univ
Boston Univ,Army
Buffalo,Ohio
Campbell,Presbyterian
Central Conn,St Francis NY
Clemson,Georgia Tech
Colgate,Holy Cross
Yale,Columbia
Cornell,Brown
Delaware,James Madison
WI Green Bay,Detroit
UNC Wilmington,Drexel
Duke,Syracuse
Davidson,Duquesne
E Michigan,N Illinois
Northeastern,Elon
F Dickinson,Bryant
Fairfield,Monmouth NJ
Florida,Auburn
Florida Intl,Rice
La Salle,Fordham
FL Atlantic,North Texas
George Mason,Massachusetts
Providence,Georgetown
Georgia,LSU
Hofstra,Towson
Kent,Bowling Green
Kentucky,Missouri
Lehigh,Lafayette
Liberty,High Point
Long Island,Sacred Heart
Marshall,Charlotte
Michigan,Maryland
UMBC,MA Lowell
Miami FL,Boston College
Morehead St,E Kentucky
Mt St Mary's,Wagner
Navy,Loyola MD
Oakland,WI Milwaukee
Penn,Harvard
Virginia,Pittsburgh
Princeton,Dartmouth
St Joseph's PA,Richmond
Tulane,South Florida
St Francis PA,Robert Morris
Seton Hall,St John's
Vermont,Stony Brook
St Bonaventure,VA Commonwealth
Louisville,Virginia Tech
Notre Dame,Wake Forest
West Virginia,Iowa St
Charleston So,Winthrop
William & Mary,Col Charleston
Cleveland St,Youngstown St
S Dakota St,IPFW
Gardner Webb,UNC Asheville
Albany NY,Maine
Radford,Longwood
Hartford,Binghamton
Arkansas,Alabama
Appalachian St,Ark Little Rock
Coastal Car,Arkansas St
Murray St,Austin Peay
Cent Arkansas,Abilene Chr
Belmont,Tennessee St
Indiana St,Bradley
Creighton,Villanova
DePaul,Marquette
Valparaiso,Drake
E Illinois,SIUE
Evansville,S Illinois
Loyola-Chicago,Illinois St
McNeese St,Houston Bap
MTSU,UAB
Tennessee,Mississippi
Mississippi St,South Carolina
Nicholls St,New Orleans
Northern Iowa,Missouri St
SE Louisiana,Northwestern LA
Oklahoma,Kansas St
TN Martin,SE Missouri St
Wichita St,SMU
ULL,South Alabama
St Louis,G Washington
Lamar,SF Austin
Ga Southern,Texas St
TCU,Baylor
Jacksonville St,Tennessee Tech
UT San Antonio,Louisiana Tech
Texas,Oklahoma St
UT Arlington,Georgia St
Kansas,Texas Tech
Troy,ULM
Texas A&M,Vanderbilt
Denver,W Illinois
WKU,Old Dominion
Incarnate Word,TAM C. Christi
N Colorado,North Dakota
N Dakota St,NE Omaha
Air Force,Utah St
Oregon St,Arizona St
Gonzaga,BYU
E Washington,Idaho St
Montana,Montana St
Portland St,Northern Arizona
Southern Utah,CS Sacramento
UTEP,Southern Miss
USC,Utah
Idaho,Weber St
UC Davis,UC Riverside
Washington,California
Wyoming,Fresno St
CS Fullerton,Long Beach St
Loy Marymount,Pacific
UC Santa Barbara,CS Northridge
Oregon,Arizona
Pepperdine,Portland
San Diego,San Francisco
San Diego St,San Jose St
St Mary's CA,Santa Clara
Stanford,Washington St
UC Irvine,Hawaii
TX Southern,Alabama A&M
Bethune-Cookman,Savannah St
UTRGV,Chicago St
Grand Canyon,Utah Valley
S Carolina St,NC Central
CS Bakersfield,Seattle
Alcorn St,Southern Univ
Howard,Delaware St
Florida A&M,NC A&T
Ark Pine Bluff,Grambling
Hampton,Morgan St
New Mexico St,Missouri KC
Jackson St,MS Valley St
Norfolk St,MD E Shore
Prairie View,Alabama St
Canisius,Marist
Cincinnati,Tulsa
Memphis,Connecticut
Furman,ETSU
Manhattan,Quinnipiac
UNC Greensboro,Samford
NC State,Florida St
Purdue,Minnesota
Rider,Iona
Illinois,Rutgers
St Peter's,Siena
Temple,UCF
VMI,Chattanooga
W Carolina,Citadel
Mercer,Wofford
N Kentucky,IUPUI
Houston,East Carolina
Wright St,IL Chicago
Iowa,Northwestern
Nebraska,Penn St
Michigan St,Wisconsin
Colorado,UCLA
New Mexico,UNLV
Nevada,Colorado St
Marquette,Georgetown
Virginia Tech,Duke
West Virginia,Texas Tech
Kansas,Texas
TX Southern,Alabama St
MS Valley St,Grambling
Norfolk St,Howard
Savannah St,NC Central
Morgan St,Coppin St
MD E Shore,Delaware St
Florida A&M,S Carolina St
Jackson St,Ark Pine Bluff
NC A&T,Bethune-Cookman
Prairie View,Alabama A&M
James Madison,Elon
FL Gulf Coast,SC Upstate
Jacksonville,Kennesaw
North Florida,NJIT
Lipscomb,Stetson
Fresno St,Air Force
Buffalo,Akron
C Michigan,Ball St
UMBC,Hartford
Vermont,Maine
MA Lowell,New Hampshire
Miami FL,North Carolina
Ohio,Bowling Green
St Joseph's PA,Rhode Island
St Bonaventure,Davidson
E Michigan,W Michigan
Albany NY,Binghamton
Florida,Alabama
Arkansas,Auburn
Baylor,Oklahoma
Creighton,DePaul
Oklahoma St,Iowa St
Tennessee,Mississippi St
Toledo,N Illinois
TCU,Kansas St
Missouri,Vanderbilt
San Diego St,Boise St
Kent,Miami OH
Longwood,High Point
Charleston So,Presbyterian
Loyola MD,Army
Lafayette,American Univ
Boston College,Syracuse
Clemson,Florida St
Connecticut,Temple
Duquesne,St Louis
G Washington,Fordham
Texas A&M,Georgia
Kentucky,Mississippi
La Salle,Dayton
Notre Dame,Pittsburgh
Richmond,Massachusetts
Villanova,Seton Hall
South Carolina,LSU
St John's,Butler
George Mason,VA Commonwealth
Xavier,Providence
SE Louisiana,New Orleans
Nicholls St,Northwestern LA
Houston,SMU
SF Austin,Abilene Chr
TAM C. Christi,McNeese St
Cent Arkansas,Sam Houston St
Incarnate Word,Houston Bap
New Mexico,Colorado St
Wyoming,Air Force
Nevada,UNLV
CS Fullerton,CS Northridge
San Jose St,Utah St
Iowa,Illinois
Long Island,St Francis NY
F Dickinson,St Francis PA
Robert Morris,Mt St Mary's
Wagner,Central Conn
Tennessee Tech,SIUE
Rutgers,Minnesota
E Illinois,Tennessee St
Wichita St,UCF
Tulsa,East Carolina
Ga Southern,South Alabama
Troy,Georgia St
Georgia Tech,NC State
Virginia,Louisville
Florida Intl,Charlotte
Old Dominion,FL Atlantic
UAB,Marshall
South Florida,Memphis
MTSU,WKU
ULM,Ark Little Rock
North Texas,UT San Antonio
Rice,UTEP
ULL,Arkansas St
Cincinnati,Tulane
Arizona,Stanford
Montana,Weber St
Idaho St,Montana St
UC Davis,Hawaii
Arizona St,California
E Washington,Southern Utah
Idaho,Northern Arizona
North Dakota,CS Sacramento
Long Beach St,UC Santa Barbara
Washington,Oregon St
Washington St,Oregon
N Colorado,Portland St
UC Riverside,Cal Poly
Grambling,Alabama A&M
Hampton,Norfolk St
Savannah St,S Carolina St
Howard,Coppin St
Prairie View,Alcorn St
Delaware St,Morgan St
Bethune-Cookman,Florida A&M
Alabama St,Jackson St
NC Central,NC A&T
TX Southern,Southern Univ
Wisconsin,Maryland
Winthrop,Gardner Webb
St Peter's,Monmouth NJ
Penn St,Northwestern
Northern Iowa,Evansville
Quinnipiac,Siena
Holy Cross,Navy
Boston Univ,Lehigh
Fairfield,Marist
Liberty,Campbell
Missouri St,Valparaiso
FL Gulf Coast,North Florida
Lipscomb,Jacksonville
Radford,Longwood
UNC Asheville,Charleston So
Bucknell,Loyola MD
Colgate,Lafayette
Michigan,Iowa
Jacksonville St,Tennessee Tech
Rutgers,Indiana
Austin Peay,E Illinois
Akron,Kent
Buffalo,Bowling Green
Princeton,Brown
Dartmouth,Columbia
Davidson,Rhode Island
Harvard,Cornell
Ohio,Miami OH
E Michigan,Toledo
Yale,Penn
N Illinois,Ball St
Oklahoma,Iowa St
UT Arlington,Texas St
Bradley,Drake
Illinois St,Indiana St
Cleveland St,Youngstown St
WI Green Bay,Detroit
Loy Marymount,Portland
Pepperdine,Santa Clara
Citadel,VMI
Chattanooga,Samford
Michigan St,Wisconsin
Loyola-Chicago,Northern Iowa
Michigan,Nebraska
Radford,Winthrop
Penn St,Ohio St
S Illinois,Missouri St
St Peter's,Rider
Murray St,Jacksonville St
Liberty,UNC Asheville
Purdue,Rutgers
Quinnipiac,Canisius
Belmont,Austin Peay
UCLA,USC
Appalachian St,Coastal Car
Penn,Brown
Cornell,Dartmouth
Dayton,G Washington
Duke,North Carolina
Florida,Kentucky
Florida St,Boston College
VA Commonwealth,Fordham
Ga Southern,Troy
Richmond,George Mason
Georgia St,South Alabama
Georgia Tech,Wake Forest
Harvard,Columbia
Massachusetts,Duquesne
Miami FL,Virginia Tech
Charlotte,FL Atlantic
NC State,Louisville
Old Dominion,Florida Intl
Providence,St John's
Seton Hall,Butler
St Joseph's PA,La Salle
Syracuse,Clemson
Tennessee,Georgia
Villanova,Georgetown
Virginia,Notre Dame
Yale,Princeton
Auburn,South Carolina
UAB,WKU
Xavier,DePaul
TAM C. Christi,Houston Bap
Kansas St,Baylor
LSU,Mississippi St
Marquette,Creighton
McNeese St,Lamar
Marshall,MTSU
Vanderbilt,Mississippi
Missouri,Arkansas
Arkansas St,ULM
UTEP,North Texas
Oklahoma St,Kansas
UT San Antonio,Rice
SF Austin,Sam Houston St
SE Louisiana,Nicholls St
Southern Miss,Louisiana Tech
St Bonaventure,St Louis
Ark Little Rock,ULL
Texas,West Virginia
Texas A&M,Alabama
Texas Tech,TCU
Cent Arkansas,Northwestern LA
Abilene Chr,Incarnate Word
Air Force,San Jose St
Arizona,California
Boise St,Wyoming
Montana,Idaho St
Weber St,Montana St
New Mexico,Fresno St
Utah,Colorado
Utah St,UNLV
UC Davis,UC Irvine
E Washington,Northern Arizona
Hawaii,CS Fullerton
Idaho,Southern Utah
Long Beach St,UC Riverside
CS Sacramento,N Colorado
San Diego St,Nevada
UC Santa Barbara,Cal Poly
Stanford,Arizona St
Oregon,Washington
Oregon St,Washington St
Portland St,North Dakota
Grambling,Alabama St
TX Southern,Alcorn St
New Mexico St,UTRGV
Grand Canyon,CS Bakersfield
Utah Valley,Seattle
Chicago St,Missouri KC
Alabama A&M,Jackson St
Prairie View,Southern Univ
Wofford,Mercer
BYU,San Diego
San Francisco,Pacific
S Dakota St,W Illinois
Ark Pine Bluff,MS Valley St
Furman,W Carolina
Iona,Manhattan
South Dakota,NE Omaha
Stony Brook,Albany NY
Vermont,Maine
UMBC,MA Lowell
Drexel,James Madison
Hartford,New Hampshire
Delaware,Elon
Long Island,F Dickinson
Wagner,Robert Morris
Fairfield,Niagara
UNC Greensboro,Citadel
Michigan,Michigan St
Loyola-Chicago,Bradley
Purdue,Penn St
Wright St,WI Green Bay
ETSU,Chattanooga
Illinois St,S Illinois
Cleveland St,N Kentucky
Murray St,Belmont
Gonzaga,Loy Marymount
St Mary's CA,Pepperdine
C Michigan,W Michigan
UCF,Tulane
South Florida,SMU
Houston,Connecticut
Memphis,East Carolina
Tulsa,Temple
Cincinnati,Wichita St
William & Mary,Towson
WI Milwaukee,IL Chicago
N Dakota St,IPFW
Oakland,IUPUI
UNC Wilmington,Hofstra
Denver,Oral Roberts
Colgate,Holy Cross
Bucknell,Boston Univ
Lipscomb,FL Gulf Coast
Radford,Liberty
Northeastern,Delaware
ETSU,Furman
Iona,St Peter's
Fairfield,Quinnipiac
Col Charleston,Drexel
Loyola-Chicago,Illinois St
UNC Greensboro,Wofford
Michigan,Purdue
NC A&T,Delaware St
Norfolk St,MD E Shore
Kent,N Illinois
C Michigan,Bowling Green
Miami OH,Ohio
Akron,W Michigan
Gonzaga,San Francisco
BYU,St Mary's CA
Col Charleston,William & Mary
Cleveland St,Oakland
Iona,Fairfield
S Dakota St,N Dakota St
Northeastern,UNC Wilmington
Wright St,WI Milwaukee
UNC Greensboro,ETSU
South Dakota,Denver
Florida A&M,Howard
NC Central,Coppin St
Morgan St,S Carolina St
Boston College,Georgia Tech
Notre Dame,Pittsburgh
North Dakota,Montana St
N Colorado,Northern Arizona
Syracuse,Wake Forest
Vermont,Stony Brook
Long Island,Wagner
UMBC,Hartford
Ark Pine Bluff,MS Valley St
Southern Univ,Jackson St
Southern Utah,Idaho St
TX Southern,Alabama St
Prairie View,Alcorn St
Portland St,CS Sacramento
Wright St,Cleveland St
Col Charleston,Northeastern
Gonzaga,BYU
S Dakota St,South Dakota
Louisville,Florida St
Texas St,Coastal Car
UNLV,Air Force
Colorado,Arizona St
Appalachian St,Ark Little Rock
Utah St,Colorado St
Stanford,California
Massachusetts,La Salle
Troy,South Alabama
New Orleans,TAM C. Christi
Georgia,Vanderbilt
Oklahoma St,Oklahoma
St John's,Georgetown
Wyoming,San Jose St
Southern Miss,Florida Intl
UT San Antonio,UTEP
G Washington,Fordham
ULM,Arkansas St
Cent Arkansas,Lamar
South Carolina,Mississippi
Oregon St,Washington
Texas,Iowa St
Marquette,DePaul
Louisiana Tech,North Texas
UAB,FL Atlantic
Oregon,Washington St
Bucknell,Colgate
Hampton,Florida A&M
Notre Dame,Virginia Tech
Morgan St,Bethune-Cookman
North Carolina,Syracuse
Boston College,NC State
VA Commonwealth,Dayton
Kansas St,TCU
Alabama,Texas A&M
Providence,Creighton
Grand Canyon,Missouri KC
UC Davis,UC Riverside
Utah Valley,CS Bakersfield
San Diego St,Fresno St
CS Fullerton,Long Beach St
Richmond,Duquesne
Mississippi St,LSU
West Virginia,Baylor
New Mexico St,Chicago St
UC Irvine,Hawaii
Butler,Seton Hall
Seattle,UTRGV
UC Santa Barbara,Cal Poly
SMU,Connecticut
Memphis,South Florida
Temple,Tulane
UCF,East Carolina
Buffalo,C Michigan
Kent,Ball St
Toledo,Miami OH
NC A&T,Norfolk St
E Michigan,Akron
Virginia,Louisville
Montana,North Dakota
N Colorado,Weber St
NC Central,Savannah St
Southern Utah,Idaho
E Washington,Portland St
Xavier,St John's
Clemson,Boston College
Kansas,Oklahoma St
George Mason,Massachusetts
Georgia,Missouri
Arizona,Colorado
Nevada,UNLV
UCLA,Stanford
Sam Houston St,New Orleans
Duke,Notre Dame
Texas Tech,Texas
Villanova,Marquette
Southern Miss,MTSU
Marshall,UT San Antonio
St Louis,G Washington
SF Austin,Cent Arkansas
North Carolina,Miami FL
Arkansas,South Carolina
USC,Oregon St
Utah St,Boise St
Old Dominion,Louisiana Tech
WKU,UAB
Oregon,Utah
New Mexico,Wyoming
ULL,Texas St
Ark Pine Bluff,Southern Univ
TX Southern,Prairie View
UT Arlington,Appalachian St
Georgia St,Troy
Ga Southern,ULM
Cincinnati,SMU
Rhode Island,VA Commonwealth
Alabama,Auburn
Marshall,Southern Miss
Memphis,Tulsa
St Joseph's PA,George Mason
Kentucky,Georgia
WKU,Old Dominion
St Bonaventure,Richmond
SE Louisiana,Sam Houston St
Hampton,NC A&T
Providence,Xavier
Buffalo,Kent
Wichita St,Temple
Virginia,Clemson
Tennessee,Mississippi St
Kansas,Kansas St
Davidson,St Louis
SF Austin,Nicholls St
NC Central,Morgan St
Montana,N Colorado
Houston,UCF
North Carolina,Duke
Arkansas,Florida
Arizona,UCLA
West Virginia,Texas Tech
Villanova,Butler
Toledo,E Michigan
